Lorg/glassfish/gmbal/ManagedData,23
Lorg/infinispan/protostream/annotations/ProtoFactory,23
Ljakarta/ws/rs/ConstrainedTo,23
Lorg/infinispan/factories/annotations/SurvivesRestarts,23
Lcom/fasterxml/jackson/annotation/JsonTypeInfo,23
Lcom/ning/billing/security/RequiresPermissions,23
Ljavax/annotation/concurrent/NotThreadSafe,23
Lorg/atmosphere/config/AtmosphereAnnotation,23
Lorg/springframework/beans/factory/annotation/Qualifier,22
Lnet/shibboleth/utilities/java/support/annotation/constraint/Positive,22
Lorg/openqa/selenium/Beta,21
Lorg/kohsuke/args4j/Option,21
Lorg/intellij/lang/annotations/Language,21
Ljakarta/ws/rs/Produces,21
Lorg/jvnet/hk2/config/DuckTyped,20
Ljakarta/xml/bind/annotation/XmlTransient,20
Lorg/springframework/jmx/export/annotation/ManagedResource,20
Lcom/google/gwt/uibinder/client/UiConstructor,20
Lorg/springframework/web/bind/annotation/ResponseBody,20
Lorg/springframework/objenesis/instantiator/annotations/Instantiator,20
Lorg/objenesis/instantiator/annotations/Instantiator,20
Lfeign/Headers,20
Ljavax/xml/bind/annotation/XmlEnum,20
Ljavax/enterprise/inject/Any,20
Lorg/killbill/commons/jdbi/statement/SmartFetchSize,19
Ljakarta/xml/bind/annotation/XmlEnumValue,19
Ljavax/enterprise/context/NormalScope,19
Lorg/skife/jdbi/v2/sqlobject/SqlStatementCustomizingAnnotation,19
Lorg/springframework/context/annotation/Scope,19
Lorg/glassfish/gmbal/ManagedOperation,19
Lorg/glassfish/jersey/spi/Contract,19
Lcom/google/inject/Singleton,19
Ljakarta/xml/bind/annotation/XmlSchemaType,19
Lrx/internal/util/SuppressAnimalSniffer,18
Lkotlin/internal/ContractsDsl,18
Lcom/fasterxml/jackson/annotation/JsonValue,18
Ljavax/jws/soap/SOAPBinding,18
Ljava/beans/ConstructorProperties,18
Lorg/weakref/jmx/Managed,18
Lio/swagger/annotations/ApiOperation,18
Ljakarta/ws/rs/Consumes,18
Lorg/springframework/security/config/web/servlet/SecurityMarker,18
Lorg/glassfish/gmbal/impl/trace/TraceTypelib,18
Lorg/apache/hadoop/ipc/ProtocolInfo,17
Lio/reactivex/annotations/Experimental,17
Lorg/jgroups/annotations/Experimental,17
Lnet/sf/ehcache/pool/sizeof/annotations/IgnoreSizeOf,17
Lorg/apache/spark/annotation/Experimental,17
Ljavax/jws/WebMethod,17
Lorg/jboss/errai/common/client/api/annotations/BrowserEvent,17
Lnet/shibboleth/utilities/java/support/annotation/constraint/Live,17
Ljavax/jws/WebService,17
Lorg/jetbrains/annotations/NonNls,17
Lorg/glassfish/gmbal/impl/trace/TraceRuntime,16
Lorg/teiid/Replicated,16
Lorg/aspectj/lang/annotation/Aspect,16
Lorg/springframework/data/convert/WritingConverter,16
Lorg/spark_project/guava/annotations/VisibleForTesting,16
Ljavax/annotation/processing/SupportedAnnotationTypes,16
Lorg/killbill/commons/jdbi/template/KillBillSqlDaoStringTemplate,16
Lorg/springframework/context/annotation/Lazy,16
Lorg/eclipse/rdf4j/common/annotation/Experimental,16
Lorg/mockito/NotExtensible,15
Ljavax/validation/constraints/Min,15
Lio/swagger/annotations/ApiResponses,15
Lcom/google/gwt/safehtml/shared/annotations/IsSafeHtml,15
Lorg/wildfly/swarm/config/runtime/AttributeDocumentation,15
Lorg/springframework/data/repository/NoRepositoryBean,15
Lorg/apache/logging/log4j/core/config/plugins/PluginConfiguration,15
Lcom/oracle/svm/core/annotate/TargetClass,14
Ljavax/persistence/Entity,14
LaQute/bnd/annotation/Version,14
Lcom/google/inject/BindingAnnotation,14
Ljavax/xml/bind/annotation/XmlSeeAlso,14
Lorg/springframework/boot/convert/DurationUnit,14
Ljavax/annotation/Priority,14
